,,,Vorname,Nachname,,
Abwärts,Herzlich Willkommen,,nach,#WERT!,1,
Ace Frehley ,Kiss,,vor,Frehley ,3,
All Areas Volume 3,,,vor,Areas Volume 3,4,nachname
Aloof ,One Night Stand,,vor,,2,Vorname
Antenna ,Same Title,,vor,,2,Vorname
B52 ,Play Loud,,vor,,2,Vorname
B52 ,Wild Planet,,vor,,2,Vorname
Beautiful People ,If Sixties Were Nineties,,vor,People ,3,Vorname
Billy Idol ,Vital Idol,,vor,Idol ,3,Vorname
Brosko Skrobrow ,Same Title,,vor,Skrobrow ,3,Vorname
Bruce Dickinson ,Skunkworks,,vor,Dickinson ,3,
Buffalo Tom ,Let Me Come Over,,vor,Tom ,3,
Cartwheel ,Man: In Love With Machine,,vor,,2,
Cds Und Dvds:,,,vor,Und Dvds:,3,
Chris Garneau ,C-Sides,,vor,Garneau ,3,
Chris Garneau ,El Radio,,vor,Garneau ,3,
David Bowie,Heathen,,vor,Bowie,2,
David Hall ,Kitchen Rex,,vor,Hall ,3,
David Sylvian ,Songs Of The Beehive,,vor,Sylvian ,3,
Dean Martin ,Everybody Loves Somebody Best Of,,Dean,Martin ,3,
Deromantic ,Same Title,,Deromantic,,2,
Die Fantastischen Vier ,Viel,,Die,Fantastischen Vier ,4,
Diverse,Detroit Rock City,Dvd ,,#WERT!,1,
Dj Alex Smart ,Same Title,,Dj,Alex Smart ,4,
Doktor Confusion ,Brotherhood Of Electric Love And Freedom,,Doktor,Confusion ,3,
Elvis Presley ,Elvis 30 – Nummer Eins Hits ,,Elvis,Presley ,3,
Foo Fighters ,In Your Honor,,Foo,Fighters ,3,
Foo Fighters ,There Is Nothing Left To Lose,,Foo,Fighters ,3,
Genesis ,A Trick Of The Tail,,Genesis,,2,
Halford ,Ressurection,,Halford,,2,
Hours Gone ,Inadvertences Involve Consequences,,Hours,Gone ,3,
Hundred Years ,Hundred Years,,Hundred,Years ,3,
Ideal ,Same Title,,Ideal,,2,
Inkompetent ,Best Of Sinnlos,,Inkompetent,,2,
Iron Maiden ,Brave New World,,Iron,Maiden ,3,
Iron Maiden ,Dance Of Death,,Iron,Maiden ,3,
Iron Maiden ,The Wicker Man Single,,Iron,Maiden ,3,
Jane's Addiction ,Strays,,Jane's,Addiction ,3,
Jim O'rourke ,Insignificance,,Jim,O'rourke ,3,
John Barry ,Dances With Wolves,,John,Barry ,3,
Judas Priest ,Angel Of Retribution,,Judas,Priest ,3,
Jungle Frenzy ,Creative Essentials,,Jungle,Frenzy ,3,
Kate Bush ,Hounds Of Love,,Kate,Bush ,3,
Kate Bush ,Serial,,Kate,Bush ,3,
King's X ,Faith Hope Love,,King's,X ,3,
Kiss ,Alive 3,,Kiss,,2,
Kiss ,Carnival Of Souls , Bootleg,Kiss,,2,
Kiss ,Destroyer,,Kiss,,2,
Kiss ,Dressed To Kill,,Kiss,,2,
Kiss ,Hotter Than Hell,,Kiss,,2,
Kiss ,Psycho Circus,,Kiss,,2,
Kiss ,Same Title,,Kiss,,2,
Kiss ,Sonic Boom,,Kiss,,2,
Kiss ,Unplugged,,Kiss,,2,
Kreuzberg Cafe ,Same Title,,Kreuzberg,Cafe ,3,
Kxm ,Kxm,,Kxm,,2,
Level B ,Live 1984/85,,Level,B ,3,
Los Leos ,Retter Des Pomp,,Los,Leos ,3,
Megadeth ,Interview Cd,,Megadeth,,2,
Megadeth ,Youthanasia,,Megadeth,,2,
Motã¶Rhead ,Overkill,,Motã¶Rhead,,2,
Motörhead,Another Perfect Day,,,#WERT!,1,
Motorhead ,Ace Of Spades,,Motorhead,,2,
Musikexpress Sounds Sampler 104,,,Musikexpress,Sounds Sampler 104,4,
Nationalgalerie ,Indiana,,Nationalgalerie,,2,
Neil Diamond ,Home Before Dark,,Neil,Diamond ,3,
Neil Diamond ,Stones + Touching You Touching Me + Moods,Boxset,Neil,Diamond ,3,
Ozzy ,Undercover,,Ozzy,,2,
Ozzy Osbourne ,Blizzard Of Oz,,Ozzy,Osbourne ,3,
Ozzy Osbourne ,Meets The Priest 15.11 296,,Ozzy,Osbourne ,3,
Ozzy Osbourne ,No More Tears,,Ozzy,Osbourne ,3,
Ozzy Osbourne ,Osmosis,,Ozzy,Osbourne ,3,
Park ,Young Professional,,Park,,2,
Paul Stanley ,Kiss,,Paul,Stanley ,3,
Paul Stanley ,Live To Win,,Paul,Stanley ,3,
Perfect Circle ,Same Title,,Perfect,Circle ,3,
Pete Townsend ,White City,,Pete,Townsend ,3,
Placebo ,Without You I'm Nothing,,Placebo,,2,
Queen Mom ,Nothing Else Instead,,Queen,Mom ,3,
Queens Of The Stone Age ,Restricted,,Queens,Of The Stone Age ,6,
Randy Newman ,Little Criminals,,Randy,Newman ,3,
Red Hot Chili Peppers ,One Hot Minute Promocional,,Red,Hot Chili Peppers ,5,
Richard Ruin ,Richard Ruin,,Richard,Ruin ,3,
Rio Reiser ,Himmel Und Hã¶Lle,,Rio,Reiser ,3,
Sampler Sesamstraãÿe ,25 Hits Aus 25 Jahren,,Sampler,Sesamstraãÿe ,3,
Schokoladen Sampler ,Im Namen Der Musik,,Schokoladen,Sampler ,3,
Scott Rudd ,Lonely Life, ,Scott,Rudd ,3,
Screaming Trees ,Winter Songs,,Screaming,Trees ,3,
Sheef ,110 Kilo Mã¤Dchen,,Sheef,,2,
Shihead ,Same Title,,Shihead,,2,
Spliff ,85555,,Spliff,,2,
Stash Box ,The Ultimate Alphabet Of Rock,,Stash,Box ,3,
Steve Brockman ,Don't Sing,,Steve,Brockman ,3,
Steve Brockman ,Expected Errors,,Steve,Brockman ,3,
Sting ,Fields Of Gold (best Of),,Sting,,2,
Sting ,Mercury Falling,,Sting,,2,
Strumm ,Same Title,,Strumm,,2,
Sugar ,Copper Blue,,Sugar,,2,
Supergrass ,Supergrass,,Supergrass,,2,
Talk Talk ,The Colour Of Spring,,Talk,Talk ,3,
Tears For Fears Shout,,,Tears,For Fears Shout,4,
The Cult ,Sonic Temple,,The,Cult ,3,
The Darf Inside ,Same Title,,The,Darf Inside ,4,
The Lemonheads ,It's A Shame About Ray,,The,Lemonheads ,3,
The Notwist ,Same Title,,The,Notwist ,3,
The Polic ,Message In A Box,Box-Set,The,Polic ,3,
The Smashing ,Pumpkins Machina,,The,Smashing ,3,
Thin Lizzy ,Live And Dangerous,,Thin,Lizzy ,3,
Tom Waits ,Blue Valentine,,Tom,Waits ,3,
Videospiel ,Indiana Jones And The Fate Of Atlantis ,,Videospiel,,2,
Viel Geburtstag Zum Glã¼Ck ,Sampler Vom Cowboy,,Viel,Geburtstag Zum Glã¼Ck ,5,
Visions – Sampler ,All Areas Volume 6 ,Sampler ,Visions,– Sampler ,4,
Visions – Sampler ,All Areas Volume 7,Sampler ,Visions,– Sampler ,4,
Visions – Sampler ,All Areas Volume 8,Sampler,Visions,– Sampler ,4,
Visions – Sampler ,All Areas Volume 9,Sampler ,Visions,– Sampler ,4,
Visions – Sampler ,All Areas Volume Ten,Sampler ,Visions,– Sampler ,4,
Visions Compilation ,The Most Underrated Bands Of The Nineties,,Visions,Compilation ,3,
Vitatec ,Science Fiction,,Vitatec,,2,
Water Dog ,Five Easy Pieces,,Water,Dog ,3,
Wayne Schlegel ,Feelings,,Wayne,Schlegel ,3,
Wenn Halen ,Women And Children First + Diver Down,,Wenn,Halen ,3,
Whitesnake ,Good To Be Bad,,Whitesnake,,2,
Zaibatsu ,Same Title,,Zaibatsu,,2,
,,,#WERT!,,1,
,,,,,1,
